orig_string,country,city,parent_institution_normalized,institutional_subunit_normalized
Thüringer Buchlöwe - Schreibwettbewerb der Literarischen Gesellschaft Thüringen,Deutschland,,Thüringer Buchlöwe - Schreibwettbewerb der Literarischen Gesellschaft Thüringen,
"Trier Center for Digital Humanities, Germany",Deutschland,Trier,"Trier Center for Digital Humanities, Germany",
Universitaet Potsdam; Germany,Deutschland,Potsdam,Universität Potsdam,
"Universitaet Tuebingen, Germany",Deutschland,Tübingen,"Universitaet Tuebingen, Germany",
"Universität Bergen, Norway",Norwegen,Bergen,"Universität Bergen, Norway",
Universität des Saarlands,Deutschland,Saarbrücken,Universität des Saarlands,
"Universität Duisburg-Essen, Germany",Deutschland,,"Universität Duisburg-Essen, Germany",
"Universität Erlangen-Nürnberg, Germany",Deutschland,,"Universität Erlangen-Nürnberg, Germany",
"Universität Heidelberg, Germany",Deutschland,Heidelberg,"Universität Heidelberg, Germany",
"Universität Hildesheim, Institut für Informationswissenschaft und Sprachtechnologie",Deutschland,Hildesheim,"Universität Hildesheim, Institut für Informationswissenschaft und Sprachtechnologie",
"Universität Konstanz, Germany",Deutschland,Konstanz,"Universität Konstanz, Germany",
"Universität Passau, Germany",Deutschland,Passau,"Universität Passau, Germany",
"Universität Stuttgart, Institut für Maschinelle Sprachverarbeitung",Deutschland,Stuttgart,Universität Stuttgart,Institut für maschinelle Sprachverarbeitung
"Universität Stuttgart, Institut für Sozialwissenschaften",Deutschland,Stuttgart,Universität Stuttgart,Institut für Sozialwissenschaften
"Universität Trier, Neuere und Neueste Geschichte",Deutschland,Trier,"Universität Trier, Neuere und Neueste Geschichte",
"Universität Würzburg, Germany",Deutschland,Würzburg,"Universität Würzburg, Germany",
"Universitätsbibliothek Frankfurt am Main, Germany",Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,Universitätsbibliothek
"University of Hamburg, Germany",Deutschland,Hamburg,"University of Hamburg, Germany",
Universtiät Bern,Schweiz,Bern,Universtiät Bern,
"Universität München, Germany",Deutschland,München,Ludwig-Maximilians Universität München,
"Wittgenstein-Archiv an der Universität Bergen, Norway",Norwegen,Bergen,"Wittgenstein-Archiv an der Universität Bergen, Norway",
"Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz, Austria",Österreich,Graz,Karl-Franzens-Universität Graz,
"Zentrum für Technologietransfer und Telekommunikation, FH Worms",Deutschland,Worms,"Zentrum für Technologietransfer und Telekommunikation, FH Worms",
"Zentrum Technik und Gesellschaft / TU Berlin, Germany",Deutschland,Berlin,"Zentrum Technik und Gesellschaft / TU Berlin, Germany",
"Ruhr-Universität-Bochum, Deutschland",Deutschland,Bochum,"Ruhr-Universität-Bochum, Deutschland",
